"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"72,28721676,0-20 cm,28721676,1.6,561.6,75,561.6,1.6,Cropland,0.1924461,15008.1087,60.35400009,-2.026170015,36.76826601,-6.226268618,0.691884995,48.43009949,18.10659981,43.16666667,40.41666667,44.5,39.75,12.75,13.64999962,13.69999981,12.80000019"
"73,28721752,0-20 cm,28721752,0.9,542.4,137,542.4,0.9,Cropland,0.183611469,15012.95652,48.91320038,-1.391039968,37.44122982,-6.386409578,0.37459299,46.04439926,18.00559998,42.16666667,40.08333333,43.33333333,39.5,12,13.10000038,13.14999962,12.10000038"
"74,28741738,0-20 cm,28741738,0.9,154.2,153,154.2,0.9,Cropland,0.227940544,15003.95652,78.07569885,-1.711069942,37.32119349,-6.334529917,0.975892007,46.11360168,18.01059914,41.91666667,39.75,43.16666667,39.33333333,12.05000019,13.14999962,13.14999962,12.14999962"
"75,28741750,0-20 cm,28741750,1.1,401.9,115,401.9,1.1,Cropland,0.182701885,15048.63043,48.91320038,-1.339050055,37.42739331,-6.360060897,0.473821998,45.38779831,18.17259979,41.58333333,39.5,42.75,39.08333333,12.14999962,13.19999981,13.25,12.25"
"76,28821646,0-20 cm,28821646,1.3,186.2,136,186.2,1.3,Cropland,0.222322697,14949.8,61.67440033,-2.434220076,36.52129088,-6.055204922,1.357689977,53.5644989,17.92830086,47.16666667,44,48.5,43.08333333,12.89999962,13.80000019,13.85000038,12.94999981"
"77,28901658,0-20 cm,28901658,0.5,214.5,66,214.5,0.5,Cropland,0.286065776,14958.13043,67.06439972,3.926599979,36.64281418,-5.992368545,0.813576996,52.24499893,17.90360069,46.41666667,43.16666667,47.66666667,42.33333333,12.85000038,13.80000019,13.85000038,12.89999962"
"78,28921674,0-20 cm,28921674,1.3,237.2,128,237.2,1.3,Grassland,0.213272503,15055.77778,86.77839661,-2.223959923,36.78847971,-6.003230649,1.453340054,51.45650101,17.92300034,46,43,47.25,42.16666667,12.75,13.75,13.75,12.85000038"
"79,28941672,0-20 cm,28941672,1.2,491.4,118,491.4,1.2,Cropland,0.222240083,15024.17778,86.77839661,-2.106080055,36.77450891,-5.977236243,0.817624986,52.54219818,17.89299965,46.83333333,43.83333333,48.16666667,43,12.69999981,13.69999981,13.75,12.80000019"
"80,28941730,0-20 cm,28941730,1.1,226.8,70,226.8,1.1,Cropland,0.219544302,15010.97826,62.3132019,1.733500004,37.28858078,-6.097209413,0.719942987,46.82649994,18.27429962,42.5,40,43.5,39.5,12.30000019,13.30000019,13.39999962,12.39999962"
"81,28961740,0-20 cm,28961740,1,167.9,141,167.9,1,Cropland,0.241912748,15019.22727,100.2030029,-1.683519959,37.38095128,-6.096078098,2.398910046,48.42430115,18.03230095,44,41.83333333,45.25,41.16666667,11.80000019,12.85000038,12.89999962,11.94999981"
